TransactionID,OrderDate,DeliveryDate,SupplierName,SupplierCategory,Department,ItemDescription,Quantity,UnitPrice,TotalPrice,ContractReference,SavingsIdentified,SavingsRealized,PaymentTermsDays
TRX00001,01/04/2025,13/04/2025,"Estrada, Valentine and Baker",IT Services,Patient Care,Southern Service/Product,3,£12.22,£36.66,,0,0,60
TRX00002,19/07/2023,26/07/2023,"Davis, Miles and Rodriguez",Facilities Maintenance,Patient Care,Country Service/Product,5,£515.46,"£2,577.30",CON2064,0,0,30
TRX00003,25/07/2023,18/08/2023,Jenkins PLC,Consulting,Operations,General Service/Product,3,£118.58,£355.74,CON5454,0,0,60
TRX00004,29/04/2025,20/05/2025,Green-Smith,Medical Supplies,IT,Respond Service/Product,3,£853.89,"£2,561.67",CON6705,0,0,90
TRX00005,17/10/2024,21/10/2024,Avery PLC,Medical Supplies,Finance,Material Service/Product,6,£217.61,"£1,305.66",CON5183,0,0,90
TRX00006,06/02/2024,03/03/2024,Armstrong-Skinner,Office Equipment,Finance,Conference Service/Product,4,£233.53,£934.12,,0,0,90
TRX00007,02/09/2024,10/09/2024,Davis Ltd,Facilities Maintenance,Patient Care,Apply Service/Product,4,£132.12,£528.48,,0,0,60
TRX00008,15/12/2023,20/12/2023,Acevedo Group,Facilities Maintenance,HR,Bank Service/Product,5,£53.14,£265.70,,31.76,7.52,90
TRX00009,20/10/2024,28/10/2024,Garrett Inc,Medical Supplies,IT,One Service/Product,7,£620.74,"£4,345.18",CON8647,0,0,60
TRX00010,20/12/2024,25/12/2024,Green-Huff,IT Services,Patient Care,There Service/Product,10,£728.56,"£7,285.60",CON7689,634.03,474.1,30
TRX00011,11/11/2023,03/12/2023,Wilson-Garrett,Consulting,HR,Pay Service/Product,8,£751.31,"£6,010.48",CON3177,0,0,60
TRX00012,03/02/2025,03/03/2025,Black PLC,Medical Supplies,IT,Seven Service/Product,7,£672.76,"£4,709.32",,0,0,30
TRX00013,23/10/2024,04/11/2024,Johns-Duncan,IT Services,Finance,Standard Service/Product,2,£960.48,"£1,920.96",,0,0,30
TRX00014,01/11/2024,13/11/2024,"Berg, Obrien and Wright",IT Services,IT,Campaign Service/Product,2,£174.31,£348.62,CON1651,0,0,60
TRX00015,11/11/2024,26/11/2024,Perkins Ltd,Logistics,HR,Investment Service/Product,3,£256.46,£769.38,,0,0,30
TRX00016,02/12/2024,19/12/2024,Carson-Smith,Facilities Maintenance,IT,Hundred Service/Product,5,£975.96,"£4,879.80",CON8024,0,0,90
TRX00017,26/09/2023,22/10/2023,Wilkinson-Kelly,Consulting,IT,Option Service/Product,4,£798.27,"£3,193.08",,325.67,118.92,60
TRX00018,18/12/2023,04/01/2024,"Andrade, Whitaker and Crawford",Medical Supplies,Patient Care,Very Service/Product,8,£782.92,"£6,263.36",CON5625,0,0,60
TRX00019,07/11/2024,20/11/2024,Reed Group,Medical Supplies,Operations,Wife Service/Product,3,£42.16,£126.48,CON5463,0,0,90
TRX00020,02/08/2024,17/08/2024,Mitchell-Ramirez,Office Equipment,Operations,Stop Service/Product,7,£527.36,"£3,691.52",CON3159,0,0,90
TRX00021,23/08/2024,30/08/2024,Johnson-Allen,Medical Supplies,HR,Watch Service/Product,9,£768.03,"£6,912.27",,1293.41,323.54,60
TRX00022,12/08/2024,10/09/2024,"Martin, Mathews and Preston",Office Equipment,IT,Deep Service/Product,6,£334.05,"£2,004.30",,0,0,60
TRX00023,08/01/2024,31/01/2024,Scott-Johnson,Office Equipment,Admin,Find Service/Product,8,£56.17,£449.36,CON6011,39.55,18.63,60
TRX00024,19/05/2025,12/06/2025,Martin-Rodriguez,IT Services,Admin,Cold Service/Product,8,£392.06,"£3,136.48",,247.38,129.95,30
TRX00025,05/09/2024,10/09/2024,"Bowers, Gibbs and Gregory",Office Equipment,Admin,Baby Service/Product,4,£267.95,"£1,071.80",CON9396,0,0,90
TRX00026,24/06/2025,18/07/2025,Perry Inc,Facilities Maintenance,HR,Send Service/Product,6,£544.05,"£3,264.30",CON1923,501.79,252.15,30
TRX00027,05/10/2024,28/10/2024,Bender Inc,IT Services,IT,Unit Service/Product,10,£770.77,"£7,707.70",CON6198,0,0,90
TRX00028,18/01/2025,30/01/2025,Thompson Ltd,Office Equipment,IT,Father Service/Product,5,£990.12,"£4,950.60",,0,0,30
TRX00029,16/12/2024,12/01/2025,"Baker, Shields and Anderson",Logistics,HR,Sound Service/Product,10,£160.50,"£1,605.00",CON6392,0,0,90
TRX00030,24/04/2025,03/05/2025,Hutchinson-Jones,Medical Supplies,Finance,Fire Service/Product,6,£989.96,"£5,939.76",CON8243,814.68,142.47,60
TRX00031,29/07/2024,05/08/2024,"Sawyer, Jones and Stevens",Medical Supplies,Admin,On Service/Product,2,£546.77,"£1,093.54",,0,0,30
TRX00032,02/11/2023,16/11/2023,"Novak, Stark and Travis",Medical Supplies,Operations,Present Service/Product,6,£432.86,"£2,597.16",CON6607,0,0,60
TRX00033,11/04/2025,04/05/2025,"Holmes, Taylor and Haas",Medical Supplies,Operations,Card Service/Product,6,£448.70,"£2,692.20",CON9163,0,0,60
TRX00034,23/02/2025,01/03/2025,"Jones, Mercado and Reed",Office Equipment,Admin,Cut Service/Product,5,£290.59,"£1,452.95",,0,0,30
TRX00035,01/03/2024,12/03/2024,Hoffman and Sons,Office Equipment,Admin,Kind Service/Product,8,£433.17,"£3,465.36",,523.7,260.01,90
TRX00036,07/08/2023,12/08/2023,"Wilson, Gonzalez and Ellis",Logistics,Finance,Foot Service/Product,8,£311.66,"£2,493.28",,0,0,30
TRX00037,22/09/2024,08/10/2024,Dixon-Burns,Medical Supplies,HR,Receive Service/Product,5,£137.46,£687.30,,0,0,90
TRX00038,10/09/2023,03/10/2023,Stokes-Petty,Consulting,Admin,Vote Service/Product,6,£114.72,£688.32,CON9555,0,0,60
TRX00039,08/09/2023,27/09/2023,Hall-Mata,Medical Supplies,Admin,Out Service/Product,5,£403.46,"£2,017.30",CON6708,0,0,60
TRX00040,04/04/2024,09/04/2024,Dodson LLC,Facilities Maintenance,Patient Care,Arm Service/Product,1,£215.28,£215.28,CON9503,0,0,60
